﻿Daily Discharge (m3/s) (PARAM = 1)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
05BE999,1,1,1989,01,45.2,,60.6,,57.2,,51.7,,56.3,,72.3,,141,,114,,131,,70.3,,71.9,,55.5,
05BE999,1,1,1989,02,47.1,,59.9,,59.0,,51.6,,54.1,,72.7,,144,,115,,125,,76.9,,72.6,,57.9,
05BE999,1,1,1989,03,46.8,,59.0,,57.6,,55.6,,54.5,,83.1,,137,,126,,123,,74.2,,63.8,,58.5,
05BE999,1,1,1989,04,48.5,,59.1,,56.7,,46.7,,53.9,,86.7,,135,,132,,122,,81.9,,57.2,,57.1,
05BE999,1,1,1989,05,48.3,,57.3,,57.0,,48.4,,56.7,,88.7,,131,,122,,110,,81.9,,53.2,,53.8,
05BE999,1,1,1989,06,55.3,,57.6,,57.7,,44.9,,57.1,,106,,126,,119,,117,,83.1,,55.8,,55.1,
05BE999,1,1,1989,07,56.1,,57.3,,58.8,,46.7,,57.0,,144,,128,,120,,130,,67.3,,58.8,,59.2,
05BE999,1,1,1989,08,56.0,,59.6,,57.4,,47.3,,83.6,,124,,121,,120,,131,,65.0,,52.8,,68.0,
05BE999,1,1,1989,09,55.7,,57.0,,56.7,,46.4,,97.7,,198,,121,,119,,126,,63.0,,68.2,,64.6,
05BE999,1,1,1989,10,57.1,,59.2,,57.0,,48.6,,108,,195,,122,,122,,125,,62.9,,61.1,,63.3,
05BE999,1,1,1989,11,55.0,,56.1,,56.6,,50.9,,125,,192,,124,,123,,120,,60.7,,55.4,,66.2,
05BE999,1,1,1989,12,57.7,,56.3,,57.2,,51.3,,132,,198,,121,,127,,116,,65.5,,56.7,,60.6,
05BE999,1,1,1989,13,54.2,,57.8,,57.6,,65.3,,114,,216,,120,,126,,112,,65.6,,57.1,,57.2,
05BE999,1,1,1989,14,54.3,,56.9,,57.6,,57.1,,83.8,,212,,124,,123,,100,,65.2,,53.5,,56.6,
05BE999,1,1,1989,15,54.2,,60.2,,58.5,,47.3,,81.7,,217,,123,,122,,92.1,,65.1,,62.3,,55.1,
05BE999,1,1,1989,16,55.7,,56.7,,57.4,,48.0,,75.3,,237,,123,,117,,84.8,,69.3,,64.4,,59.9,
05BE999,1,1,1989,17,57.1,,56.9,,57.7,,47.7,,74.7,,256,,144,,125,,84.8,,68.2,,66.2,,59.5,
05BE999,1,1,1989,18,53.6,,58.0,,50.8,,50.8,,69.6,,253,,146,,149,,88.5,,70.7,,64.8,,62.9,
05BE999,1,1,1989,19,57.5,,57.1,,50.9,,54.3,,72.9,,226,,144,,138,,93.4,,70.5,,62.2,,62.2,
05BE999,1,1,1989,20,55.7,,56.7,,52.0,,53.2,,72.7,,179,,124,,160,,98.9,,71.3,,65.1,,59.5,
05BE999,1,1,1989,21,55.4,,56.6,,51.1,,50.3,,73.2,,172,,127,,152,,95.7,,60.6,,63.5,,59.7,
05BE999,1,1,1989,22,54.6,,57.1,,55.4,,46.1,,73.8,,154,,129,,149,,90.4,,54.7,,65.0,,54.0,
05BE999,1,1,1989,23,55.1,,57.2,,56.8,,46.0,,73.0,,132,,132,,149,,79.4,,66.5,,63.5,,49.5,
05BE999,1,1,1989,24,57.2,,57.3,,53.6,,47.5,,75.3,,128,,124,,149,,76.0,,63.1,,62.2,,49.7,
05BE999,1,1,1989,25,58.6,,55.6,,51.6,,51.8,,73.8,,127,,129,,143,,73.3,,70.4,,62.4,,50.0,
05BE999,1,1,1989,26,57.4,,56.6,,53.6,,56.9,,72.0,,141,,126,,129,,73.8,,64.6,,59.5,,49.5,
05BE999,1,1,1989,27,56.8,,58.3,,54.6,,56.0,,66.2,,121,,127,,117,,76.1,,57.8,,75.5,,57.1,
05BE999,1,1,1989,28,55.0,,58.3,,54.7,,51.7,,65.8,,135,,131,,116,,76.9,,52.9,,81.1,,61.5,
05BE999,1,1,1989,29,55.4,,,,55.3,,44.0,,71.1,,138,,131,,122,,77.5,,50.4,,65.1,,64.6,
05BE999,1,1,1989,30,55.9,,,,54.8,,44.8,,73.9,,138,,128,,138,,77.3,,54.1,,62.5,,66.7,
05BE999,1,1,1989,31,57.3,,,,55.5,,,,64.2,,,,123,,142,,,,64.1,,,,65.4,
05BE999,1,1,1990,01,65.3,,58.6,,61.8,,57.4,,74.2,,390,,298,,156,,90.6,,69.2,,71.4,,68.0,
05BE999,1,1,1990,02,65.7,,53.5,,63.5,,64.7,,73.5,,484,,316,,177,,87.9,,69.3,,70.5,,57.8,
