"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","5.9","","-11.6","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","4","","28","","50",""
"2019-01-02","2019","01","02","","11.1","","4.9","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","3","","27","","72",""
"2019-01-03","2019","01","03","","9.7","","-0.6","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","T","27","","65",""
"2019-01-04","2019","01","04","","9.4","","-6.2","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","T","22","","74",""
"2019-01-05","2019","01","05","","-4.5","","-9.5","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"2019-01-06","2019","01","06","","5.7","","-7.1","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","0","T","26","","55",""
"2019-01-07","2019","01","07","","-5.7","","-11.9","","-8.8","","26.8","","0.0","","0.0","T","0.0","","0.0","T","0","T","","M","","M"
"2019-01-08","2019","01","08","","-6.3","","-14.2","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","T","17","","32",""
"2019-01-09","2019","01","09","","-4.5","","-10.7","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"2019-01-10","2019","01","10","","9.8","","-10.8","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","","","29","","41",""
"2019-01-11","2019","01","11","","8.0","","-10.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","T","20","","39",""
"2019-01-12","2019","01","12","","9.6","","-3.6","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","T","9","","37",""
"2019-01-13","2019","01","13","","9.8","","-5.6","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","T","","","","M"
"2019-01-14","2019","01","14","","9.9","","-6.9","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","T","23","","45",""
"2019-01-15","2019","01","15","","-2.8","","-9.4","","-6.1","","24.1","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","","M"
"2019-01-16","2019","01","16","","-5.4","","-8.0","","-6.7","","24.7","","0.0","","0.0","","3.0","","2.6","","0","T","","M","","M"
"2019-01-17","2019","01","17","","-8.0","","-16.7","","-12.4","","30.4","","0.0","","0.0","","4.8","","2.9","","4","","","M","","M"
"2019-01-18","2019","01","18","","-13.7","","-17.4","","-15.6","","33.6","","0.0","","0.0","","0.0","T","0.0","T","7","","","M","","M"
"2019-01-19","2019","01","19","","4.9","","-18.3","","-6.7","","24.7","","0.0","","0.2","","0.0","T","0.2","","6","","27","","37",""
"2019-01-20","2019","01","20","","2.5","","-10.1","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","5","","28","","39",""
"2019-01-21","2019","01","21","","-0.5","","-9.2","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"2019-01-22","2019","01","22","","4.1","","-10.8","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","3","","27","","59",""
"2019-01-23","2019","01","23","","1.8","","-15.9","","-7.1","","25.1","","0.0","","0.0","","1.2","","0.9","","5","","2","","58",""
"2019-01-24","2019","01","24","","1.5","","-17.7","","-8.1","","26.1","","0.0","","0.0","","0.2","","0.2","","6","","36","","42",""
"2019-01-25","2019","01","25","","3.7","","-7.0","","-1.7","","19.7","","0.0","","0.0","","1.0","","0.6","","6","","36","","39",""
"2019-01-26","2019","01","26","","13.7","","-6.0","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","5","","28","","50",""
"2019-01-27","2019","01","27","","11.4","","-5.5","","3.0","","15.0","","0.0","","1.7","","0.0","T","1.7","","5","","32","","81",""
"2019-01-28","2019","01","28","","-1.3","","-8.6","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","T","32","","39",""
"2019-01-29","2019","01","29","","-1.2","","-13.0","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","0","T","3","","35",""
"2019-01-30","2019","01","30","","6.7","","-9.7","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","T","30","","32",""
"2019-01-31","2019","01","31","","9.1","","-4.9","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"2019-02-01","2019","02","01","","-2.7","","-16.7","","-9.7","","27.7","","0.0","","0.0","","1.3","","1.1","","0","T","3","","41",""
"2019-02-02","2019","02","02","","-16.5","","-22.1","","-19.3","","37.3","","0.0","","0.0","","1.2","","0.6","","1","","35","","50",""
"2019-02-03","2019","02","03","","-22.1","","-27.8","","-25.0","","43.0","","0.0","","0.0","","0.8","","0.6","","3","","3","","32",""
"2019-02-04","2019","02","04","","-24.8","","-27.6","","-26.2","","44.2","","0.0","","","M","0.8","","0.6","","4","","","M","","M"
"2019-02-05","2019","02","05","","-21.2","","-28.4","","-24.8","","42.8","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-02-06","2019","02","06","","-16.0","","-26.2","","-21.1","","39.1","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-02-07","2019","02","07","","-11.0","","-25.5","","-18.3","","36.3","","0.0","","0.0","","0.2","","0.2","","3","","","M","","M"
"2019-02-08","2019","02","08","","-13.2","","-23.9","","-18.6","","36.6","","0.0","","0.4","","3.0","","3.0","","2","","1","","52",""
"2019-02-09","2019","02","09","","-23.9","","-28.1","","-26.0","","44.0","","0.0","","0.0","","0.2","","0.2","","3","","","","","M"
"2019-02-10","2019","02","10","","-24.0","","-29.2","","-26.6","","44.6","","0.0","","0.0","","2.0","","1.8","","3","","","","","M"
"2019-02-11","2019","02","11","","-20.9","","-27.2","","-24.1","","42.1","","0.0","","0.0","","2.7","","2.4","","5","","34","","33",""
"2019-02-12","2019","02","12","","-17.8","","-29.6","","-23.7","","41.7","","0.0","","0.0","","2.0","","1.8","","7","","","M","","M"
"2019-02-13","2019","02","13","","-17.1","","-23.9","","-20.5","","38.5","","0.0","","0.0","","1.4","","1.4","","10","","","M","","M"
"2019-02-14","2019","02","14","","-10.4","","-22.5","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","","M"
"2019-02-15","2019","02","15","","-16.7","","-22.4","","-19.6","","37.6","","0.0","","0.0","","4.8","","2.8","","8","","","M","","M"
"2019-02-16","2019","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-17","2019","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-18","2019","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-19","2019","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-20","2019","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-21","2019","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-22","2019","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-23","2019","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-24","2019","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-25","2019","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-26","2019","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-27","2019","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2019-02-28","2019","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-01","2019","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-02","2019","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-03","2019","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-04","2019","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-05","2019","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-06","2019","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-07","2019","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-08","2019","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-09","2019","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-10","2019","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-11","2019","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-12","2019","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-13","2019","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-14","2019","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-15","2019","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-16","2019","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-17","2019","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-18","2019","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-19","2019","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-20","2019","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-21","2019","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-22","2019","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-23","2019","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-24","2019","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-25","2019","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-26","2019","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-27","2019","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-28","2019","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-29","2019","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-30","2019","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"2019-03-31","2019","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-01","2019","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-02","2019","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-03","2019","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-04","2019","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-05","2019","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-06","2019","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-07","2019","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-08","2019","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-09","2019","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-10","2019","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-11","2019","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-12","2019","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-13","2019","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-14","2019","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-15","2019","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-16","2019","04","16","","","","","","","","","","","","","","","","","","","","","","",""
